loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_weighted_f1,eval_support,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.895725631713867,2.742800235748291,4.9772727272727275e-05,0.09569377990430622,20,,,,,,,,,,,,,
1.9809614181518556,3.346619129180908,4.953349282296651e-05,0.19138755980861244,40,,,,,,,,,,,,,
1.450460147857666,6.033664226531982,4.9294258373205744e-05,0.28708133971291866,60,,,,,,,,,,,,,
1.1517390251159667,7.798335075378418,4.9055023923444975e-05,0.3827751196172249,80,,,,,,,,,,,,,
0.9227411270141601,2.7596757411956787,4.881578947368421e-05,0.4784688995215311,100,,,,,,,,,,,,,
0.8048583030700683,3.028536081314087,4.8576555023923445e-05,0.5741626794258373,120,,,,,,,,,,,,,
0.6938920021057129,8.493581771850586,4.833732057416268e-05,0.6698564593301436,140,,,,,,,,,,,,,
0.7135880470275879,4.844390392303467,4.8098086124401914e-05,0.7655502392344498,160,,,,,,,,,,,,,
0.6028882503509522,3.3786709308624268,4.785885167464115e-05,0.861244019138756,180,,,,,,,,,,,,,
0.6589467048645019,3.2780542373657227,4.7619617224880384e-05,0.9569377990430622,200,,,,,,,,,,,,,
,,,1.0,209,0.5244120955467224,0.861468116658428,0.7699063615250424,0.8530905622558362,8092.0,12.9566,16.362,4.091,,,,,
0.5150926113128662,3.470266103744507,4.738038277511962e-05,1.0526315789473684,220,,,,,,,,,,,,,
0.4727916240692139,2.9699132442474365,4.714114832535885e-05,1.1483253588516746,240,,,,,,,,,,,,,
0.44750685691833497,3.2736384868621826,4.6901913875598084e-05,1.244019138755981,260,,,,,,,,,,,,,
0.4646914005279541,4.624396324157715,4.666267942583732e-05,1.339712918660287,280,,,,,,,,,,,,,
0.4172798156738281,3.030907392501831,4.642344497607656e-05,1.4354066985645932,300,,,,,,,,,,,,,
0.42365264892578125,4.964724063873291,4.618421052631579e-05,1.5311004784688995,320,,,,,,,,,,,,,
0.3467909097671509,2.128474235534668,4.594497607655502e-05,1.6267942583732058,340,,,,,,,,,,,,,
0.37564725875854493,2.7349724769592285,4.570574162679426e-05,1.722488038277512,360,,,,,,,,,,,,,
0.3159021377563477,3.749425172805786,4.54665071770335e-05,1.8181818181818183,380,,,,,,,,,,,,,
0.34590878486633303,4.278633117675781,4.522727272727273e-05,1.9138755980861244,400,,,,,,,,,,,,,
,,,2.0,418,0.3657595217227936,0.9038556599110232,0.8645009833721584,0.8981157652768123,8092.0,12.6399,16.772,4.193,,,,,
0.4198940277099609,4.548763751983643,4.498803827751196e-05,2.0095693779904304,420,,,,,,,,,,,,,
0.25987801551818845,3.503180742263794,4.474880382775119e-05,2.1052631578947367,440,,,,,,,,,,,,,
0.33637993335723876,3.944948434829712,4.450956937799043e-05,2.200956937799043,460,,,,,,,,,,,,,
0.3037900447845459,1.1711933612823486,4.427033492822967e-05,2.2966507177033493,480,,,,,,,,,,,,,
0.26574323177337644,2.742792844772339,4.40311004784689e-05,2.3923444976076556,500,,,,,,,,,,,,,
0.24301838874816895,4.005292892456055,4.379186602870813e-05,2.488038277511962,520,,,,,,,,,,,,,
0.29098823070526125,5.431254863739014,4.355263157894737e-05,2.583732057416268,540,,,,,,,,,,,,,
0.26528947353363036,2.4276366233825684,4.331339712918661e-05,2.679425837320574,560,,,,,,,,,,,,,
0.2580679178237915,1.339951992034912,4.307416267942584e-05,2.77511961722488,580,,,,,,,,,,,,,
0.283223032951355,6.7876739501953125,4.283492822966507e-05,2.8708133971291865,600,,,,,,,,,,,,,
0.25147738456726076,1.7468560934066772,4.259569377990431e-05,2.9665071770334928,620,,,,,,,,,,,,,
,,,3.0,627,0.3079206347465515,0.9242461690558577,0.8948374594032781,0.9211409338554422,8092.0,12.7922,16.573,4.143,,,,,
0.1998543381690979,1.0882205963134766,4.235645933014355e-05,3.062200956937799,640,,,,,,,,,,,,,
0.28354930877685547,3.0153286457061768,4.211722488038278e-05,3.1578947368421053,660,,,,,,,,,,,,,
0.22033329010009767,2.407508134841919,4.187799043062201e-05,3.2535885167464116,680,,,,,,,,,,,,,
0.21359608173370362,2.9219963550567627,4.163875598086124e-05,3.349282296650718,700,,,,,,,,,,,,,
0.2244126558303833,3.5227887630462646,4.139952153110048e-05,3.444976076555024,720,,,,,,,,,,,,,
0.21363320350646972,2.3579344749450684,4.116028708133972e-05,3.5406698564593304,740,,,,,,,,,,,,,
0.18878676891326904,2.6981873512268066,4.092105263157895e-05,3.6363636363636362,760,,,,,,,,,,,,,
0.31883392333984373,3.1907131671905518,4.068181818181818e-05,3.7320574162679425,780,,,,,,,,,,,,,
0.25709216594696044,1.6617484092712402,4.044258373205742e-05,3.827751196172249,800,,,,,,,,,,,,,
0.22322921752929686,4.681762218475342,4.0203349282296656e-05,3.923444976076555,820,,,,,,,,,,,,,
,,,4.0,836,0.29626619815826416,0.9331438457736035,0.9180513172752254,0.9331637053484337,8092.0,13.0245,16.277,4.069,,,,,
0.23780429363250732,1.226132869720459,3.996411483253589e-05,4.019138755980861,840,,,,,,,,,,,,,
0.17227693796157836,3.5132744312286377,3.972488038277512e-05,4.114832535885167,860,,,,,,,,,,,,,
0.18133713006973268,2.222127676010132,3.948564593301435e-05,4.2105263157894735,880,,,,,,,,,,,,,
0.2188042640686035,3.1131906509399414,3.9246411483253595e-05,4.30622009569378,900,,,,,,,,,,,,,
0.23978753089904786,2.680222988128662,3.9007177033492826e-05,4.401913875598086,920,,,,,,,,,,,,,
0.1912907600402832,4.064699649810791,3.876794258373206e-05,4.497607655502392,940,,,,,,,,,,,,,
0.23230793476104736,3.2688698768615723,3.852870813397129e-05,4.5933014354066986,960,,,,,,,,,,,,,
0.21143629550933837,0.6872669458389282,3.828947368421053e-05,4.688995215311005,980,,,,,,,,,,,,,
0.18396073579788208,9.531000137329102,3.8050239234449765e-05,4.784688995215311,1000,,,,,,,,,,,,,
0.1621553659439087,2.238875389099121,3.7811004784689e-05,4.880382775119617,1020,,,,,,,,,,,,,
0.20835731029510499,2.405057191848755,3.757177033492823e-05,4.976076555023924,1040,,,,,,,,,,,,,
,,,5.0,1045,0.3004409372806549,0.9300543746910529,0.9144590701806319,0.9306210451085516,8092.0,12.6528,16.755,4.189,,,,,
0.17172727584838868,3.362215995788574,3.7332535885167466e-05,5.07177033492823,1060,,,,,,,,,,,,,
0.15925828218460084,3.987090826034546,3.7093301435406704e-05,5.167464114832536,1080,,,,,,,,,,,,,
0.146524977684021,1.6814850568771362,3.6854066985645936e-05,5.2631578947368425,1100,,,,,,,,,,,,,
0.17903761863708495,1.1697496175765991,3.661483253588517e-05,5.358851674641148,1120,,,,,,,,,,,,,
0.1821208119392395,1.6941511631011963,3.6375598086124405e-05,5.454545454545454,1140,,,,,,,,,,,,,
0.17227898836135863,4.722469329833984,3.613636363636364e-05,5.55023923444976,1160,,,,,,,,,,,,,
0.24554944038391113,3.9990854263305664,3.5897129186602874e-05,5.645933014354067,1180,,,,,,,,,,,,,
0.1769641876220703,3.794422149658203,3.5657894736842106e-05,5.741626794258373,1200,,,,,,,,,,,,,
0.20137767791748046,1.4993526935577393,3.541866028708134e-05,5.837320574162679,1220,,,,,,,,,,,,,
0.15676438808441162,2.8527848720550537,3.5179425837320575e-05,5.9330143540669855,1240,,,,,,,,,,,,,
,,,6.0,1254,0.2899301052093506,0.9325259515570934,0.9167684956561162,0.9327477095974178,8092.0,11.5874,18.296,4.574,,,,,
0.18170241117477418,7.20289945602417,3.494019138755981e-05,6.028708133971292,1260,,,,,,,,,,,,,
0.15024551153182983,7.79777717590332,3.4700956937799045e-05,6.124401913875598,1280,,,,,,,,,,,,,
0.16253945827484131,0.9289947748184204,3.4461722488038276e-05,6.220095693779904,1300,,,,,,,,,,,,,
0.12448275089263916,2.1599295139312744,3.4222488038277514e-05,6.315789473684211,1320,,,,,,,,,,,,,
0.2680442094802856,2.4866411685943604,3.398325358851675e-05,6.411483253588517,1340,,,,,,,,,,,,,
